TestList,factornames,lambda_fs,tstat_fs
136,Cash holdings,-80.75512426569232,-0.9951446111680481
137,HML Devil ,51.416524253439604,1.015401613231875
138,Gross profitability,18.92199181177383,0.5723504057973721
139,Organizational Capital,9.429712057090098,0.33419498652008495
140,Betting Against Beta ,61.15417300945483,2.585341478969169
141,Quality Minus Junk ,34.35705963746219,0.9729451325067348
142,Employee growth rate,14.549557351283415,0.4396340356920227
143,Growth in advertising expense,6.024631814595362,0.5038488468807388
144,Book Asset Liquidity,25.645709598490434,0.7892433916199686
145,Robust Minus Weak ,93.62878933817989,2.6347703781966043
146,Conservative Minus Aggressive,22.101958161282084,0.6625536064024037
147,HXZ Investment,54.9966114504703,2.348391782701455
148,HXZ Profitability ,96.0727947923484,3.8006089999659065
149,Intermediary Risk Factor,-5.577018029814732,-0.10237327970664298
150,Convertible debt indicator,-6.497875952284193,-0.6004386912049577
